==60546== NVPROF is profiling process 60546, command: python train.py --img 416 --batch 4 --epochs 20 --data bccd.yaml --weights yolov3-tiny.pt
Using torch 1.7.0 CUDA:0 (Tesla P40, 22919MB)
Namespace(adam=False, batch_size=4, bucket='', cache_images=False, cfg='', data='./data/bccd.yaml', device='', epochs=20, evolve=False, exist_ok=False, global_rank=-1, hyp='data/hyp.scratch.yaml', image_weights=False, img_size=[416, 416], local_rank=-1, log_imgs=16, multi_scale=False, name='exp', noautoanchor=False, nosave=False, notest=False, project='runs/train', rect=False, resume=False, save_dir='runs/train/exp29', single_cls=False, sync_bn=False, total_batch_size=4, weights='yolov3-tiny.pt', workers=8, world_size=1)
Start Tensorboard with "tensorboard --logdir runs/train", view at http://localhost:6006/
Hyperparameters {'lr0': 0.01, 'lrf': 0.2, 'momentum': 0.937, 'weight_decay': 0.0005, 'warmup_epochs': 3.0, 'warmup_momentum': 0.8, 'warmup_bias_lr': 0.1, 'box': 0.05, 'cls': 0.5, 'cls_pw': 1.0, 'obj': 1.0, 'obj_pw': 1.0, 'iou_t': 0.2, 'anchor_t': 4.0, 'fl_gamma': 0.0, 'hsv_h': 0.015, 'hsv_s': 0.7, 'hsv_v': 0.4, 'degrees': 0.0, 'translate': 0.1, 'scale': 0.5, 'shear': 0.0, 'perspective': 0.0, 'flipud': 0.0, 'fliplr': 0.5, 'mosaic': 1.0, 'mixup': 0.0}
Overriding model.yaml nc=80 with nc=3
                 from  n    params  module                                  arguments                     
  0                -1  1       464  models.common.Conv                      [3, 16, 3, 1]                 
  1                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
  2                -1  1      4672  models.common.Conv                      [16, 32, 3, 1]                
  3                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
  4                -1  1     18560  models.common.Conv                      [32, 64, 3, 1]                
  5                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
  6                -1  1     73984  models.common.Conv                      [64, 128, 3, 1]               
  7                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
  8                -1  1    295424  models.common.Conv                      [128, 256, 3, 1]              
  9                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 2, 0]                     
 10                -1  1   1180672  models.common.Conv                      [256, 512, 3, 1]              
 11                -1  1         0  torch.nn.modules.padding.ZeroPad2d      [[0, 1, 0, 1]]                
 12                -1  1         0  torch.nn.modules.pooling.MaxPool2d      [2, 1, 0]                     
 13                -1  1   4720640  models.common.Conv                      [512, 1024, 3, 1]             
 14                -1  1    262656  models.common.Conv                      [1024, 256, 1, 1]             
 15                -1  1   1180672  models.common.Conv                      [256, 512, 3, 1]              
 16                -2  1     33024  models.common.Conv                      [256, 128, 1, 1]              
 17                -1  1         0  torch.nn.modules.upsampling.Upsample    [None, 2, 'nearest']          
 18           [-1, 8]  1         0  models.common.Concat                    [1]                           
 19                -1  1    885248  models.common.Conv                      [384, 256, 3, 1]              
 20          [19, 15]  1     18480  models.yolo.Detect                      [3, [[10, 14, 23, 27, 37, 58], [81, 82, 135, 169, 344, 319]], [256, 512]]
Model Summary: 59 layers, 8674496 parameters, 8674496 gradients
Transferred 68/72 items from yolov3-tiny.pt
Optimizer groups: 13 .bias, 13 conv.weight, 11 other
Scanning 'BCCD/labels/train.cache' for images and labels... 255 found, 0 missing, 0 empty, 0 corrupted: 100%|██████████| 255/255 [00:00<?, ?it/s]
Scanning 'BCCD/labels/valid.cache' for images and labels... 73 found, 0 missing, 0 empty, 0 corrupted: 100%|██████████| 73/73 [00:00<?, ?it/s][A
Scanning 'BCCD/labels/valid.cache' for images and labels... 73 found, 0 missing, 0 empty, 0 corrupted: 100%|██████████| 73/73 [00:00<?, ?it/s]
Scanning 'BCCD/labels/train.cache' for images and labels... 255 found, 0 missing, 0 empty, 0 corrupted: 100%|██████████| 255/255 [00:01<?, ?it/s]
Image sizes 416 train, 416 test
Using 4 dataloader workers
Logging results to runs/train/exp29
Starting training for 20 epochs...
     Epoch   gpu_mem       box       obj       cls     total   targets  img_size
  0%|          | 0/64 [00:00<?, ?it/s]
      0/19    0.587G     0.115    0.2764   0.03565     0.427        73       416:   0%|          | 0/64 [00:00<?, ?it/s]
      5/19     0.56G   0.06424    0.4038   0.01533    0.4833        62       416:  36%|███▌      | 23/64 [00:03<00:06,  6.38it/s]
      5/19     0.56G   0.06394    0.3969   0.01554    0.4764        51       416:  36%|███▌      | 23/64 [00:03<00:06,  6.38it/s]
      5/19     0.56G   0.06394    0.3969   0.01554    0.4764        51       416:  38%|███▊      | 24/64 [00:03<00:06,  6.37it/s]
      5/19     0.56G   0.06368    0.3916    0.0156    0.4709        51       416:  38%|███▊      | 24/64 [00:03<00:06,  6.37it/s]
      5/19     0.56G   0.06368    0.3916    0.0156    0.4709        51       416:  39%|███▉      | 25/64 [00:03<00:05,  6.66it/s]
      5/19     0.56G   0.06346    0.3898   0.01549    0.4687        71       416:  39%|███▉      | 25/64 [00:03<00:05,  6.66it/s]
      5/19     0.56G   0.06346    0.3898   0.01549    0.4687        71       416:  41%|████      | 26/64 [00:03<00:05,  6.77it/s]
      5/19     0.56G   0.06338    0.3905   0.01533    0.4692        90       416:  41%|████      | 26/64 [00:04<00:05,  6.77it/s]
      5/19     0.56G   0.06338    0.3905   0.01533    0.4692        90       416:  42%|████▏     | 27/64 [00:04<00:05,  6.82it/s]
      5/19     0.56G   0.06333    0.3868   0.01542    0.4656        59       416:  42%|████▏     | 27/64 [00:04<00:05,  6.82it/s]
      5/19     0.56G   0.06333    0.3868   0.01542    0.4656        59       416:  44%|████▍     | 28/64 [00:04<00:05,  6.79it/s]
      5/19     0.56G   0.06301     0.383   0.01533    0.4613        53       416:  44%|████▍     | 28/64 [00:04<00:05,  6.79it/s]
      5/19     0.56G   0.06301     0.383   0.01533    0.4613        53       416:  45%|████▌     | 29/64 [00:04<00:05,  6.20it/s]
      5/19     0.56G   0.06285    0.3816   0.01538    0.4598        78       416:  45%|████▌     | 29/64 [00:04<00:05,  6.20it/s]
      5/19     0.56G   0.06285    0.3816   0.01538    0.4598        78       416:  47%|████▋     | 30/64 [00:04<00:05,  6.55it/s]
      5/19     0.56G   0.06254    0.3789   0.01542    0.4569        53       416:  47%|████▋     | 30/64 [00:04<00:05,  6.55it/s]
      5/19     0.56G   0.06254    0.3789   0.01542    0.4569        53       416:  48%|████▊     | 31/64 [00:04<00:04,  6.81it/s]
      5/19     0.56G   0.06235    0.3758   0.01536    0.4535        53       416:  48%|████▊     | 31/64 [00:04<00:04,  6.81it/s]
      5/19     0.56G   0.06235    0.3758   0.01536    0.4535        53       416:  50%|█████     | 32/64 [00:04<00:04,  6.89it/s]
      5/19     0.56G   0.06231    0.3743   0.01539     0.452        63       416:  50%|█████     | 32/64 [00:04<00:04,  6.89it/s]
      5/19     0.56G   0.06231    0.3743   0.01539     0.452        63       416:  52%|█████▏    | 33/64 [00:04<00:04,  6.97it/s]
      5/19     0.56G   0.06252    0.3757   0.01536    0.4536       101       416:  52%|█████▏    | 33/64 [00:05<00:04,  6.97it/s]
      5/19     0.56G   0.06252    0.3757   0.01536    0.4536       101       416:  53%|█████▎    | 34/64 [00:05<00:04,  7.06it/s]
      5/19     0.56G   0.06257    0.3791   0.01541     0.457       115       416:  53%|█████▎    | 34/64 [00:05<00:04,  7.06it/s]
      5/19     0.56G   0.06257    0.3791   0.01541     0.457       115       416:  55%|█████▍    | 35/64 [00:05<00:04,  6.51it/s]
      5/19     0.56G   0.06264    0.3806   0.01537    0.4586       102       416:  55%|█████▍    | 35/64 [00:05<00:04,  6.51it/s]
      5/19     0.56G   0.06264    0.3806   0.01537    0.4586       102       416:  56%|█████▋    | 36/64 [00:05<00:04,  6.68it/s]
      5/19     0.56G    0.0626     0.381   0.01539     0.459        81       416:  56%|█████▋    | 36/64 [00:05<00:04,  6.68it/s]
      5/19     0.56G    0.0626     0.381   0.01539     0.459        81       416:  58%|█████▊    | 37/64 [00:05<00:03,  7.05it/s]
      5/19     0.56G   0.06249     0.383    0.0153    0.4608       100       416:  58%|█████▊    | 37/64 [00:05<00:03,  7.05it/s]
      5/19     0.56G   0.06249     0.383    0.0153    0.4608       100       416:  59%|█████▉    | 38/64 [00:05<00:03,  7.09it/s]
      5/19     0.56G   0.06245    0.3844   0.01519     0.462        88       416:  59%|█████▉    | 38/64 [00:05<00:03,  7.09it/s]
      5/19     0.56G   0.06245    0.3844   0.01519     0.462        88       416:  61%|██████    | 39/64 [00:05<00:03,  7.10it/s]
      5/19     0.56G   0.06257    0.3875    0.0152    0.4653       114       416:  61%|██████    | 39/64 [00:05<00:03,  7.10it/s]
      5/19     0.56G   0.06257    0.3875    0.0152    0.4653       114       416:  62%|██████▎   | 40/64 [00:05<00:03,  7.18it/s]
      5/19     0.56G    0.0625     0.386    0.0152    0.4637        64       416:  62%|██████▎   | 40/64 [00:06<00:03,  7.18it/s]
      5/19     0.56G    0.0625     0.386    0.0152    0.4637        64       416:  64%|██████▍   | 41/64 [00:06<00:03,  6.57it/s]
      5/19     0.56G   0.06256    0.3891   0.01521    0.4669       122       416:  64%|██████▍   | 41/64 [00:06<00:03,  6.57it/s]
      5/19     0.56G   0.06256    0.3891   0.01521    0.4669       122       416:  66%|██████▌   | 42/64 [00:06<00:03,  6.87it/s]
      5/19     0.56G   0.06249    0.3887    0.0152    0.4664        76       416:  66%|██████▌   | 42/64 [00:06<00:03,  6.87it/s]
      5/19     0.56G   0.06249    0.3887    0.0152    0.4664        76       416:  67%|██████▋   | 43/64 [00:06<00:03,  6.92it/s]
      5/19     0.56G   0.06254    0.3866   0.01532    0.4644        59       416:  67%|██████▋   | 43/64 [00:06<00:03,  6.92it/s]
      5/19     0.56G   0.06254    0.3866   0.01532    0.4644        59       416:  69%|██████▉   | 44/64 [00:06<00:02,  6.86it/s]
      5/19     0.56G   0.06239    0.3833   0.01522    0.4609        41       416:  69%|██████▉   | 44/64 [00:06<00:02,  6.86it/s]
      5/19     0.56G   0.06239    0.3833   0.01522    0.4609        41       416:  70%|███████   | 45/64 [00:06<00:02,  6.98it/s]
      5/19     0.56G   0.06233    0.3818   0.01519    0.4593        70       416:  70%|███████   | 45/64 [00:06<00:02,  6.98it/s]
      5/19     0.56G   0.06233    0.3818   0.01519    0.4593        70       416:  72%|███████▏  | 46/64 [00:06<00:02,  6.89it/s]
      5/19     0.56G   0.06223    0.3796   0.01521     0.457        47       416:  72%|███████▏  | 46/64 [00:06<00:02,  6.89it/s]
      5/19     0.56G   0.06223    0.3796   0.01521     0.457        47       416:  73%|███████▎  | 47/64 [00:06<00:02,  6.45it/s]
      5/19     0.56G   0.06215    0.3812   0.01517    0.4585       103       416:  73%|███████▎  | 47/64 [00:07<00:02,  6.45it/s]
      5/19     0.56G   0.06215    0.3812   0.01517    0.4585       103       416:  75%|███████▌  | 48/64 [00:07<00:02,  6.69it/s]
      5/19     0.56G   0.06218    0.3804    0.0151    0.4577        75       416:  75%|███████▌  | 48/64 [00:07<00:02,  6.69it/s]
      5/19     0.56G   0.06218    0.3804    0.0151    0.4577        75       416:  77%|███████▋  | 49/64 [00:07<00:02,  6.81it/s]
      5/19     0.56G     0.062    0.3789   0.01504    0.4559        68       416:  77%|███████▋  | 49/64 [00:07<00:02,  6.81it/s]
      5/19     0.56G     0.062    0.3789   0.01504    0.4559        68       416:  78%|███████▊  | 50/64 [00:07<00:02,  6.81it/s]
      5/19     0.56G   0.06196    0.3774   0.01502    0.4544        67       416:  78%|███████▊  | 50/64 [00:07<00:02,  6.81it/s]
      5/19     0.56G   0.06196    0.3774   0.01502    0.4544        67       416:  80%|███████▉  | 51/64 [00:07<00:01,  6.89it/s]
      5/19     0.56G   0.06214    0.3794   0.01509    0.4567       107       416:  80%|███████▉  | 51/64 [00:07<00:01,  6.89it/s]
      5/19     0.56G   0.06214    0.3794   0.01509    0.4567       107       416:  81%|████████▏ | 52/64 [00:07<00:01,  6.07it/s]
      5/19     0.56G   0.06216    0.3809   0.01507    0.4581       110       416:  81%|████████▏ | 52/64 [00:07<00:01,  6.07it/s]
      5/19     0.56G   0.06216    0.3809   0.01507    0.4581       110       416:  83%|████████▎ | 53/64 [00:07<00:01,  6.48it/s]
      5/19     0.56G   0.06219     0.383   0.01501    0.4602       119       416:  83%|████████▎ | 53/64 [00:08<00:01,  6.48it/s]
      5/19     0.56G   0.06219     0.383   0.01501    0.4602       119       416:  84%|████████▍ | 54/64 [00:08<00:01,  6.59it/s]
      5/19     0.56G   0.06221    0.3839   0.01499    0.4611       102       416:  84%|████████▍ | 54/64 [00:08<00:01,  6.59it/s]
      5/19     0.56G   0.06221    0.3839   0.01499    0.4611       102       416:  86%|████████▌ | 55/64 [00:08<00:01,  6.68it/s]
      5/19     0.56G   0.06218    0.3859   0.01493     0.463       101       416:  86%|████████▌ | 55/64 [00:08<00:01,  6.68it/s]
      5/19     0.56G   0.06218    0.3859   0.01493     0.463       101       416:  88%|████████▊ | 56/64 [00:08<00:01,  6.56it/s]
      5/19     0.56G   0.06208    0.3838   0.01489    0.4608        56       416:  88%|████████▊ | 56/64 [00:08<00:01,  6.56it/s]
      5/19     0.56G   0.06208    0.3838   0.01489    0.4608        56       416:  89%|████████▉ | 57/64 [00:08<00:01,  6.97it/s]
      5/19     0.56G   0.06198    0.3843   0.01483    0.4611        89       416:  89%|████████▉ | 57/64 [00:08<00:01,  6.97it/s]
      5/19     0.56G   0.06198    0.3843   0.01483    0.4611        89       416:  91%|█████████ | 58/64 [00:08<00:00,  7.17it/s]
      5/19     0.56G   0.06203     0.385   0.01485    0.4619       104       416:  91%|█████████ | 58/64 [00:08<00:00,  7.17it/s]
      5/19     0.56G   0.06203     0.385   0.01485    0.4619       104       416:  92%|█████████▏| 59/64 [00:08<00:00,  6.10it/s]
      5/19     0.56G     0.062    0.3862   0.01478     0.463       109       416:  92%|█████████▏| 59/64 [00:08<00:00,  6.10it/s]
      5/19     0.56G     0.062    0.3862   0.01478     0.463       109       416:  94%|█████████▍| 60/64 [00:08<00:00,  6.58it/s]
      5/19     0.56G   0.06188     0.386   0.01473    0.4626        84       416:  94%|█████████▍| 60/64 [00:09<00:00,  6.58it/s]
      5/19     0.56G   0.06188     0.386   0.01473    0.4626        84       416:  95%|█████████▌| 61/64 [00:09<00:00,  6.71it/s]
      5/19     0.56G   0.06192    0.3874   0.01471     0.464       109       416:  95%|█████████▌| 61/64 [00:09<00:00,  6.71it/s]
      5/19     0.56G   0.06192    0.3874   0.01471     0.464       109       416:  97%|█████████▋| 62/64 [00:09<00:00,  6.78it/s]
      5/19     0.56G   0.06184    0.3867   0.01468    0.4633        81       416:  97%|█████████▋| 62/64 [00:09<00:00,  6.78it/s]
      5/19     0.56G   0.06184    0.3867   0.01468    0.4633        81       416:  98%|█████████▊| 63/64 [00:09<00:00,  6.86it/s]
      5/19     0.56G   0.06179    0.3864   0.01466    0.4629        67       416:  98%|█████████▊| 63/64 [00:09<00:00,  6.86it/s]
      5/19     0.56G   0.06179    0.3864   0.01466    0.4629        67       416: 100%|██████████| 64/64 [00:09<00:00,  6.93it/s]
      5/19     0.56G   0.06179    0.3864   0.01466    0.4629        67       416: 100%|██████████| 64/64 [00:09<00:00,  6.74it/s]

               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:   0%|          | 0/19 [00:00<?, ?it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:   5%|▌         | 1/19 [00:00<00:03,  5.33it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  11%|█         | 2/19 [00:00<00:03,  5.31it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  16%|█▌        | 3/19 [00:00<00:02,  5.52it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  21%|██        | 4/19 [00:00<00:02,  5.44it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  26%|██▋       | 5/19 [00:00<00:02,  5.51it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  32%|███▏      | 6/19 [00:01<00:02,  5.49it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  37%|███▋      | 7/19 [00:01<00:02,  5.29it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  42%|████▏     | 8/19 [00:01<00:02,  5.38it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  47%|████▋     | 9/19 [00:01<00:01,  5.47it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  53%|█████▎    | 10/19 [00:01<00:01,  5.27it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  58%|█████▊    | 11/19 [00:02<00:01,  5.56it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  63%|██████▎   | 12/19 [00:02<00:01,  5.53it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  68%|██████▊   | 13/19 [00:02<00:01,  5.51it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  74%|███████▎  | 14/19 [00:02<00:00,  5.45it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  79%|███████▉  | 15/19 [00:02<00:00,  5.45it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  84%|████████▍ | 16/19 [00:02<00:00,  5.55it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  89%|████████▉ | 17/19 [00:03<00:00,  5.60it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95:  95%|█████████▍| 18/19 [00:03<00:00,  5.53it/s]
               Class      Images     Targets           P           R      mAP@.5  mAP@.5:.95: 100%|██████████| 19/19 [00:03<00:00,  5.65it/s]

     Epoch   gpu_mem       box       obj       cls     total   targets  img_size

  0%|          | 0/64 [00:00<?, ?it/s]
      6/19     0.56G   0.06235    0.3592   0.01234    0.4339        82       416:   0%|          | 0/64 [00:00<?, ?it/s]
      6/19     0.56G   0.06235    0.3592   0.01234    0.4339        82       416:   2%|▏         | 1/64 [00:00<00:07,  8.01it/s]
      6/19     0.56G   0.06161    0.3926   0.01247    0.4667        95       416:   2%|▏         | 1/64 [00:00<00:07,  8.01it/s]
      6/19     0.56G   0.06161    0.3926   0.01247    0.4667        95       416:   3%|▎         | 2/64 [00:00<00:08,  7.14it/s]
      6/19     0.56G   0.06244    0.4054   0.01246    0.4803        96       416:   3%|▎         | 2/64 [00:00<00:08,  7.14it/s]
      6/19     0.56G   0.06244    0.4054   0.01246    0.4803        96       416:   5%|▍         | 3/64 [00:00<00:08,  7.17it/s]
      6/19     0.56G   0.06164    0.3967   0.01256    0.4709        75       416:   5%|▍         | 3/64 [00:00<00:08,  7.17it/s]
      6/19     0.56G   0.06164    0.3967   0.01256    0.4709        75       416:   6%|▋         | 4/64 [00:00<00:08,  7.21it/s]
      6/19     0.56G   0.06169    0.4276   0.01258    0.5018       120       416:   6%|▋         | 4/64 [00:00<00:08,  7.21it/s]
      6/19     0.56G   0.06169    0.4276   0.01258    0.5018       120       416:   8%|▊         | 5/64 [00:00<00:08,  6.95it/s]
      6/19     0.56G   0.06078    0.4207   0.01274    0.4943        79       416:   8%|▊         | 5/64 [00:00<00:08,  6.95it/s]
      6/19     0.56G   0.06078    0.4207   0.01274    0.4943        79       416:   9%|▉         | 6/64 [00:00<00:08,  7.08it/s]
      6/19     0.56G   0.06014    0.4002   0.01328    0.4737        47       416:   9%|▉         | 6/64 [00:01<00:08,  7.08it/s]
      6/19     0.56G   0.06014    0.4002   0.01328    0.4737        47       416:  11%|█         | 7/64 [00:01<00:08,  7.05it/s]
      6/19     0.56G   0.06008    0.3966   0.01338    0.4701        81       416:  11%|█         | 7/64 [00:01<00:08,  7.05it/s]
      6/19     0.56G   0.06008    0.3966   0.01338    0.4701        81       416:  12%|█▎        | 8/64 [00:01<00:07,  7.04it/s]
      6/19     0.56G   0.06137    0.4161    0.0136     0.491       126       416:  12%|█▎        | 8/64 [00:01<00:07,  7.04it/s]
      6/19     0.56G   0.06137    0.4161    0.0136     0.491       126       416:  14%|█▍        | 9/64 [00:01<00:08,  6.53it/s]
      6/19     0.56G   0.06251     0.426   0.01358    0.5021       114       416:  14%|█▍        | 9/64 [00:01<00:08,  6.53it/s]
      6/19     0.56G   0.06251     0.426   0.01358    0.5021       114       416:  16%|█▌        | 10/64 [00:01<00:07,  6.81it/s]
      6/19     0.56G    0.0633    0.4441   0.01371    0.5211       142       416:  16%|█▌        | 10/64 [00:01<00:07,  6.81it/s]
      6/19     0.56G    0.0633    0.4441   0.01371    0.5211       142       416:  17%|█▋        | 11/64 [00:01<00:07,  6.92it/s]
      6/19     0.56G   0.06264    0.4352   0.01359    0.5115        74       416:  17%|█▋        | 11/64 [00:01<00:07,  6.92it/s]
      6/19     0.56G   0.06264    0.4352   0.01359    0.5115        74       416:  19%|█▉        | 12/64 [00:01<00:07,  6.89it/s]
      6/19     0.56G   0.06248    0.4288   0.01356    0.5048        81       416:  19%|█▉        | 12/64 [00:01<00:07,  6.89it/s]
      6/19     0.56G   0.06248    0.4288   0.01356    0.5048        81       416:  20%|██        | 13/64 [00:01<00:07,  6.99it/s]
      6/19     0.56G    0.0627    0.4267   0.01375    0.5031        90       416:  20%|██        | 13/64 [00:02<00:07,  6.99it/s]
      6/19     0.56G    0.0627    0.4267   0.01375    0.5031        90       416:  22%|██▏       | 14/64 [00:02<00:07,  6.96it/s]
      6/19     0.56G   0.06222    0.4202   0.01397    0.4964        71       416:  22%|██▏       | 14/64 [00:02<00:07,  6.96it/s]
      6/19     0.56G   0.06222    0.4202   0.01397    0.4964        71       416:  23%|██▎       | 15/64 [00:02<00:07,  6.95it/s]
      6/19     0.56G   0.06363    0.4308   0.01409    0.5085       158       416:  23%|██▎       | 15/64 [00:02<00:07,  6.95it/s]
      6/19     0.56G   0.06363    0.4308   0.01409    0.5085       158       416:  25%|██▌       | 16/64 [00:02<00:07,  6.30it/s]
      6/19     0.56G   0.06351     0.425   0.01421    0.5027        71       416:  25%|██▌       | 16/64 [00:02<00:07,  6.30it/s]
      6/19     0.56G   0.06351     0.425   0.01421    0.5027        71       416:  27%|██▋       | 17/64 [00:02<00:06,  6.78it/s]
      6/19     0.56G   0.06327    0.4237   0.01422    0.5012        91       416:  27%|██▋       | 17/64 [00:02<00:06,  6.78it/s]
      6/19     0.56G   0.06327    0.4237   0.01422    0.5012        91       416:  28%|██▊       | 18/64 [00:02<00:06,  6.90it/s]
      6/19     0.56G   0.06299    0.4182    0.0143    0.4955        67       416:  28%|██▊       | 18/64 [00:02<00:06,  6.90it/s]
      6/19     0.56G   0.06299    0.4182    0.0143    0.4955        67       416:  30%|██▉       | 19/64 [00:02<00:06,  6.94it/s]
      6/19     0.56G   0.06307    0.4136    0.0146    0.4913        75       416:  30%|██▉       | 19/64 [00:02<00:06,  6.94it/s]
      6/19     0.56G   0.06307    0.4136    0.0146    0.4913        75       416:  31%|███▏      | 20/64 [00:02<00:06,  7.00it/s]
      6/19     0.56G   0.06319    0.4134   0.01458    0.4911        98       416:  31%|███▏      | 20/64 [00:03<00:06,  7.00it/s]
      6/19     0.56G   0.06319    0.4134   0.01458    0.4911        98       416:  33%|███▎      | 21/64 [00:03<00:06,  7.02it/s]
      6/19     0.56G   0.06306    0.4132   0.01461    0.4909        83       416:  33%|███▎      | 21/64 [00:03<00:06,  7.02it/s]
      6/19     0.56G   0.06306    0.4132   0.01461    0.4909        83       416:  34%|███▍      | 22/64 [00:03<00:05,  7.00it/s]
      6/19     0.56G   0.06282    0.4055   0.01461    0.4829        46       416:  34%|███▍      | 22/64 [00:03<00:05,  7.00it/s]
      6/19     0.56G   0.06282    0.4055   0.01461    0.4829        46       416:  36%|███▌      | 23/64 [00:03<00:06,  6.38it/s]
      6/19     0.56G    0.0625    0.4008   0.01468     0.478        62       416:  36%|███▌      | 23/64 [00:03<00:06,  6.38it/s]
      6/19     0.56G    0.0625    0.4008   0.01468     0.478        62       416:  38%|███▊      | 24/64 [00:03<00:06,  6.62it/s]
      6/19     0.56G   0.06235     0.399   0.01452    0.4758        77       416:  38%|███▊      | 24/64 [00:03<00:06,  6.62it/s]
      6/19     0.56G   0.06235     0.399   0.01452    0.4758        77       416:  39%|███▉      | 25/64 [00:03<00:05,  6.69it/s]
      6/19     0.56G   0.06294    0.4054   0.01452    0.4829       145       416:  39%|███▉      | 25/64 [00:03<00:05,  6.69it/s]
      6/19     0.56G   0.06294    0.4054   0.01452    0.4829       145       416:  41%|████      | 26/64 [00:03<00:05,  6.84it/s]
      6/19     0.56G   0.06251    0.4006   0.01444    0.4775        53       416:  41%|████      | 26/64 [00:03<00:05,  6.84it/s]
      6/19     0.56G   0.06251    0.4006   0.01444    0.4775        53       416:  42%|████▏     | 27/64 [00:03<00:05,  6.93it/s]
      6/19     0.56G   0.06248     0.401   0.01434    0.4778        94       416:  42%|████▏     | 27/64 [00:04<00:05,  6.93it/s]
      6/19     0.56G   0.06248     0.401   0.01434    0.4778        94       416:  44%|████▍     | 28/64 [00:04<00:05,  6.94it/s]
      6/19     0.56G   0.06288    0.4036    0.0143    0.4808       111       416:  44%|████▍     | 28/64 [00:04<00:05,  6.94it/s]
      6/19     0.56G   0.06288    0.4036    0.0143    0.4808       111       416:  45%|████▌     | 29/64 [00:04<00:04,  7.00it/s]
      6/19     0.56G   0.06294    0.4028   0.01432    0.4801        93       416:  45%|████▌     | 29/64 [00:04<00:04,  7.00it/s]
      6/19     0.56G   0.06294    0.4028   0.01432    0.4801        93       416:  47%|████▋     | 30/64 [00:04<00:05,  6.44it/s]
      6/19     0.56G   0.06278    0.3982   0.01423    0.4752        53       416:  47%|████▋     | 30/64 [00:04<00:05,  6.44it/s]
      6/19     0.56G   0.06278    0.3982   0.01423    0.4752        53       416:  48%|████▊     | 31/64 [00:04<00:04,  6.69it/s]
      6/19     0.56G   0.06271    0.3943   0.01428    0.4713        50       416:  48%|████▊     | 31/64 [00:04<00:04,  6.69it/s]
      6/19     0.56G   0.06271    0.3943   0.01428    0.4713        50       416:  50%|█████     | 32/64 [00:04<00:04,  6.84it/s]
      6/19     0.56G   0.06253    0.3918   0.01421    0.4685        66       416:  50%|█████     | 32/64 [00:04<00:04,  6.84it/s]
      6/19     0.56G   0.06253    0.3918   0.01421    0.4685        66       416:  52%|█████▏    | 33/64 [00:04<00:04,  6.90it/s]
      6/19     0.56G   0.06239     0.391   0.01421    0.4676        80       416:  52%|█████▏    | 33/64 [00:04<00:04,  6.90it/s]
      6/19     0.56G   0.06239     0.391   0.01421    0.4676        80       416:  53%|█████▎    | 34/64 [00:04<00:04,  6.90it/s]
      6/19     0.56G   0.06228    0.3893   0.01422    0.4658        76       416:  53%|█████▎    | 34/64 [00:05<00:04,  6.90it/s]
      6/19     0.56G   0.06228    0.3893   0.01422    0.4658        76       416:  55%|█████▍    | 35/64 [00:05<00:04,  6.98it/s]
      6/19     0.56G   0.06221    0.3898   0.01428    0.4663        88       416:  55%|█████▍    | 35/64 [00:05<00:04,  6.98it/s]
      6/19     0.56G   0.06221    0.3898   0.01428    0.4663        88       416:  56%|█████▋    | 36/64 [00:05<00:03,  7.02it/s]
      6/19     0.56G   0.06219    0.3898   0.01418    0.4661        83       416:  56%|█████▋    | 36/64 [00:05<00:03,  7.02it/s]
      6/19     0.56G   0.06219    0.3898   0.01418    0.4661        83       416:  58%|█████▊    | 37/64 [00:05<00:04,  6.40it/s]
      6/19     0.56G   0.06213    0.3871   0.01424    0.4635        59       416:  58%|█████▊    | 37/64 [00:05<00:04,  6.40it/s]
